Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Nunes, Marcelo G; Trecenti, Julio AZ; ",Reformas de decisão nas câmaras de direito criminal em São Paulo,Acessado em,15,11,2016,2015,
"Da Silva, Fagner M; Miño, Carolina I; Izbicki, Rafael; Del Lama, Silvia N; ",Considerations for monitoring population trends of colonial waterbirds using the effective number of breeders and census estimates,Ecology and evolution,8,16,8088-8101,2018,
"IZBICKI, Rafael; ",Monitoramento Online da Dengue,Brazilian Journal of Biometrics,36,3,512-526,2018,
"de Almeida Inácio, Marco Henrique; Izbicki, Rafael; Salasar, Luis Ernesto; ",Comparing two populations using Bayesian Fourier series density estimation,Communications in Statistics-Simulation and Computation,49,1,261-282,2020,Taylor & Francis
"Esteves, Luis Gustavo; Izbicki, Rafael; Stern, Julio Michael; Stern, Rafael Bassi; ",Pragmatic hypotheses in the evolution of science,Entropy,21,9,883,2019,MDPI
"Feliciano, Joelmir Divino Carlos; ",Uma transformação de De Finetti e campos de coincidência de opiniões,,,,,2006,Universidade de São Paulo
"Marçula, Magaly; Esteves, LG; Melo, Brian Alvarez Ribeiro de; Nunes, RA; Fossaluza, Victor; Pereira, Carlos Alberto de Bragança; Mansur, AJ; ",Long-term survival analysis of patients with heart failure of different etiologies in a Brazilian cohort of outpatients: a bayesian approach,European Heart Journal,39,,1192-1193,2018,
"Esteves, Luís Gustavo; ",Fortalecimentos de representações de algumas sequências permutáveis,,,,,2001,
"Villar Couto, Cynthia M; Cumming, Graeme S; Lacorte, Gustavo A; Congrains, Carlos; Izbicki, Rafael; Braga, Erika Martins; Rocha, Cristiano D; Moralez-Silva, Emmanuel; Henry, Dominic AW; Manu, Shiiwua A; ",Avian haemosporidians in the cattle egret (Bubulcus ibis) from central-western and southern Africa: High diversity and prevalence,PLoS One,14,2,e0212425,2019,"Public Library of Science San Francisco, CA USA"
"Coscrato, Victor; Esteves, Luís Gustavo; Izbicki, Rafael; Stern, Rafael Bassi; ",Interpretable hypothesis tests,arXiv preprint arXiv:1904.06605,,,,2019,
"de Almeida Inacio, Marco Henrique; ",Modeling paid losses in the Brazilian car insurance market,,,,,,
"de Almeida Inácio, Marco Henrique; ",Introdução ao Stan como ferramenta de inferência bayesiana,URL https://marcoinacio. com/stan. Versao,1,3,,2017,
"Gigante, Alexandre D; Barenboim, Ivan Y; Dias, Rodrigo da S; Toniolo, Ricardo A; Mendonca, Tiago; Miranda-Scippa, Ângela; Kapczinski, Flávio; Lafer, Beny; ",Psychiatric and clinical correlates of rapid cycling bipolar disorder: a cross-sectional study,Revista Brasileira de Psiquiatria,38,4,270-274,2016,Associação Brasileira de Psiquiatria-ABP
"de Macedo-Soares, Marcia B; Brietzke, Elisa; Dias, Rodrigo Da Silva; Mendonça, Tiago; Moreira, Camila; Lafer, Beny; ",A comparison of the symptomatic profile between two consecutive depressive episodes in patients with bipolar disorder type I,Acta neuropsychiatrica,22,6,280-283,2010,Cambridge University Press
"Dalmasso, Niccolo; Lee, Ann; Izbicki, Rafael; Pospisil, Taylor; Kim, Ilmun; Lin, Chieh-An; ",Validation of approximate likelihood and emulator models for computationally intensive simulations,International Conference on Artificial Intelligence and Statistics,,,3349-3361,2020,PMLR
"Pezzott, George Lucas Moraes; Salasar, Luis Ernesto Bueno; Leite, José Galvão; Louzada-Neto, Francisco; ",A note on identifiability and maximum likelihood estimation for a heterogeneous capture-recapture model,Communications in Statistics-Theory and Methods,49,21,5273-5293,2020,Taylor & Francis
"Stern, Rafael Bassi; Kadane, Joseph Born; ",Indemnity for a lost chance,"Law, Probability and Risk",18,2-3,115-148,2019,Oxford University Press
"Coscrato, Victor; de Almeida Inacio, Marco Henrique; Izbicki, Rafael; ",The NN-Stacking: Feature weighted linear stacking through neural networks,Neurocomputing,399,,141-152,2020,Elsevier
